prompt,completion
"Pop pop it's show time Show time
Show time Show time","Guess who's back again
Oh they don't know Go on tell 'em
Oh they don't know Go on tell 'em
I bet they know soon as we walk in Showin' up
Wearing Cuban links ya
Designer minks ya
Inglewood's finest shoes Whoop whoop
Don't look too hard
Might hurt ya'self
Known to give the color red the blues

PreChorus
Ooh shit I'm a dangerous man with some money in my pocket
Keep up
So many pretty girls around me and they waking up the rocket
Keep up
Why you mad Fix ya face
Ain't my fault y'all be jocking
Keep up

Chorus
Players only come on
Put your pinky rings up to the moon
Girls what y'all trying to do
24 karat magic in the air
Head to toe so player
Uh look out
Second verse for the hustlas hustlas
Gangstas gangstas
Bad bitches and ya ugly ass friends Haha
Can I preach Uh oh Can I preach Uh oh
I gotta show 'em how a pimp get it in
First take your sip sip do your dip dip
Spend your money like money ain't shit Whoop whoop
We too fresh
Got to blame it on Jesus
Hashtag blessed
They ain't ready for me

PreChorus
I'm a dangerous man with some money in my pocket
Keep up
So many pretty girls around me and they waking up the rocket
Keep up
Why you mad Fix ya face
Ain't my fault y'all be jocking
Keep up

Chorus
Players only come on
Put your pinky rings up to the moon
Hey girls
What y'all trying to do
24 karat magic in the air
Head to toe so player
Uh look out
Bridge
Wooh
Everywhere I go they be like
Ooh so player ooh
Everywhere I go they be like
Ooh so player ooh
Everywhere I go they be like
Ooh so player ooh
Now now now
Watch me break it down like Uh
24 karat 24 karat magic
What's that sound
24 karat 24 karat magic
Come on now
24 karat 24 karat magic
Don't fight the feeling
Invite the feeling

Chorus
Just put your pinky rings up to the moon
Girls what y'all trying to do
24 karat magic in the air
Head to toe so player
Put your pinky rings up to the moon
Girls what y'all trying to do Do
24 karat magic in the air
Head to toe so player
24 karat
Uh look out

Outro"
"Same bed but it feels just a little bit bigger now
Our song on the radio but it don't sound the same","When our friends talk about you all it does is just tear me down
'Cause my heart breaks a little when I hear your name

PreChorus
It all just sounds like Ooh ooh
Mm too young too dumb to realize

Chorus
That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man
Verse 2
Uh my pride my ego my needs and my selfish ways
Caused a good strong woman like you to walk out my life
Now I'll never never get to clean up the mess I made oh
And that haunts me every time I close my eyes

PreChorus
It all just sounds like Ooh ooh
Mm too young too dumb to realize

Chorus
That I should've bought you flowers
And held your hand
Shoulda gave you all my hours
When I had the chance
Take you to every party
'Cause all you wanted to do was dance
Now my baby's dancin'
But she's dancin' with another man

Bridge
Although it hurts
I'll be the first to say that
I was wrong
Oh I know I'm probably much too late
To try and apologize for my mistakes
But I just want you to know
I hope he buys you flowers
I hope he holds your hand
Give you all his hours
When he has the chance
Take you to every party
'Cause I remember how much you love to dance
Do all the things I should've done
When I was your man
Do all the things I should've done"
"I just took a DNA test turns out I'm 100 that bitch
Even when I'm crying crazy","Yeah I got boy problems that's the human in me
Bling bling then I solve 'em that's the goddess in me
You coulda had a bad bitch noncommittal
Help you with your career just a little
You're 'posed to hold me down but you're holding me back
And that's the sound of me not calling you back
Chorus
Why men great 'til they gotta be great 'Til they gotta be great
Don't text me tell it straight to my face Tell it straight to my face
Best friend sat me down in the salon chair Down in the salon chair
Shampoo press get you out of my hair
Fresh photos with the bomb lighting With the bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts needed something more exciting Yee
Bom bom bi dom bi dum bum bay Eh yeah yeah yeah

Verse 2
You tried to break my heart
Oh that breaks my heart
That you thought you ever had it
No you ain't from the start
Hey I'm glad you're back with your bitch
I mean who would wanna hide this
I will never ever ever ever ever be your side chick
I put the sing in single
Ain't worried 'bout a ring on my finger
So you can tell your friend Shoot your shot when you see him
It's okay he already in my DMs

Chorus
Why men great 'til they gotta be great 'Til they gotta be great
Don't text me tell it straight to my face Tell it straight to my face
Best friend sat me down in the salon chair Down in the salon chair
Shampoo press get you out of my hair
Fresh photos with the bomb lighting With the bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts needed something more exciting Yee
Bom bom bi dom bi dum bum bay Eh yeah yeah yeah
I'ma hit you back in a minute Yeah yeah
I don't play tag bitch I been it One time
We don't fuck with lies Two times we don't do goodbyes Woo
We just keep it pushing like ayayay
I'ma hit you back in a minute Yeah yeah
I don't play tag bitch I been it One time
We don't fuck with lies Two times we don't do goodbyes Woo
We just keep it pushing like ayayay Woo

Chorus
Why men great 'til they gotta be great 'Til they gotta be great
Don't text me tell it straight to my face Tell it straight to my face
Best friend sat me down in the salon chair Down in the salon chair
Shampoo press get you out of my hair
Fresh photos with the bomb lighting With the bomb lighting
New man on the Minnesota Vikings Minnesota Vikings
Truth hurts needed something more exciting Yee
Bom bom bi dom bi dum bum bay Eh yeah yeah yeah

Outro
With the bomb lighting
Minnesota Vikings"
"Mirror mirror on the wall
Don't say it cause I know I'm cute Ooh baby","down to my drawers
LV all on my shoes Ooh baby
I be drippin' so much sauce
Got a bih lookin like RAGÚ Ooh baby
Lit up like a crystal ball
That's cool baby so is you
That's how I roll
PreChorus
If I'm shinin' everybody gonna shine Yeah I'm goals
I was born like this don't even gotta try Now you know
I'm like chardonnay get better over time So you know
Heard you say Im not the baddest bitch you lie Haha

Chorus
It aint my fault that I'm out here gettin loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
Im the pudding in the proof
Gotta blame it on my juice
Yayaee yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice
Yayaee yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice Ooh baby

Verse 2
No I'm not a snack at all
Look baby I'm the whole damn meal Ooh baby
David you ain't bein' slick
Don't dare try to cop a feel Ooh baby
The juice ain't worth the squeeze
If the juice don't look like this Like this like this like this
Hold up nigga please
Don't make me have to take your bitch shit How I roll
If I'm shinin' everybody gonna shine Yeah I'm goals
I was born like this don't even gotta try Now you know
I'm like chardonnay Okay get better over time So you know
Heard you say I'm not the baddest bitch you lie You lie

Chorus
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Yayaee Yayaee yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice
Yayaee Yayaee yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice Alright
Yayaee

Bridge
Somebody come get this man
I think he got lost in my DMs what My DMs what
You better come get your man
I think he wanna be way more than friends what
More than friends
What you want me to say
Chorus
It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof Puddin' in the proof
Gotta blame it on my juice Blame it on my juice
Yayaee Yayya yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice
Yayaee Yayaee yayaee yayaee yayaee
Blame it on my juice blame it blame it on my juice"
"Woo child tired of the bullshit
Go on dust your shoulders off keep it moving","Yes Lord tryna get some new shit
In there swimwear goingtothepool shit
Come now come dry your eyes
You know you a star you can touch the sky
I know that it's hard but you have to try
If you need advice let me simplify
PreChorus
If he don't love you anymore
Just walk your fine ass out the door

Chorus
I do my hair toss check my nails
Baby how you feelin' Feelin' good as hell
Hair toss check my nails
Baby how you feelin' Feelin' good as hell
Feeling good as hell
Baby how you feelin' Feelin' good as hell

Verse 2
Woo girl need to kick off your shoes
Gotta take a deep breath time to focus on you
All the big fights long nights that you been through
I got a bottle of tequila I been saving for you
Boss up and change your life
You can have it all no sacrifice
I know he did you wrong we can make it right
So go and let it all hang out tonight

PreChorus
'Cause he don't love you anymore
So walk your fine ass out the door
And do your hair toss check my nails
Baby how you feelin' Feelin' good as hell
Hair toss check my nails
Baby how you feelin' Feelin' good as hell Show it off tonight
Hair toss check my nails
Baby how you feelin' Feelin' good as hell And we gon' be alright
Hair toss check my nails
Baby how you feelin' Feelin' good as hell

PreChorus
Mmm yeah alright
Listen if he don't love you anymore
Then walk your fine ass out the door

Chorus
And do your hair toss check my nails
Baby how you feelin' Feelin' good as hell Woohoo
Hair toss check my nails
Baby how you feelin' Feelin' good as hell Show it off tonight
Hair toss check my nails
Baby how you feelin' Feelin' good as hell And we gon' make it right
Hair toss check my nails
Baby how you feelin' Feelin' good as hell
Feelin' good as hell"
"All the rumorsare true yeah
What ya heard that's true yeah","I fuck him and you yeah
If you believe I do that
Had to cut some hoes loose yeah
NDA no loose lips
Now them hoes tryna sue me
Bitch I don't give two shits
All the rumors are true yeah
I've been in the bamboo yeah
Focused on this music
My ex nigga he blew it
Last year I thought I would los it
Readin' shit on the internt
My smoothie cleanse and my diet
No I ain't fuck Drake yet Ha
PreChorus
Spendin' all your time tryna break a woman down
Realer shit is goin' on baby take a look around
If you thought that I was ratchet with my ass hangin' out
Just wait until the summer when they let me out the house bitch

Chorus
Talkin' talkin' talkin'
Give 'em somethin' to talk about
Sick of rumors Ooh
But haters do what they do Uh
Haters do what they do Cardi

Verse 2
All the rumors are true yeah
Fake ass fake boobs yeah
Made a million at Sue's yeah
Y'all be runnin' with fake news yeah
Cardi ain't poppin' no that's a machine Huh
Nobody listen they buyin' them streams Hmm
They even post it on blogs overseas
And lie in a language I can't even read
The fuck do this mean
Look I'm a Bronx bitch with some pop hits
Used to pop off when they pop shit Woo
But I'm calmed down and I'm locked in
And my records live in the top ten
teach me about big girl coochie Okay
Last time I got freaky the FCC sued me
But I'ma keep doin' what I wanna do
'Cause all the rumors are
All the rumors are true yeah
They hated on me since school yeah
I never thought I was cool yeah
Now me and Cardi we cool yeah
I love hoes on poles yeah Woo
I am body goals yeah
This shit from my soul yeah
Black people made rock and roll yeah

PreChorus
Why you spendin' all your time tryna break a woman down
Realer shit is goin' on baby take a look around
If you thought that I was ratchet with my ass hangin' out
Just wait until the summer when they let me out the house bitch

Chorus
What they say Yeah
What they say Yeah
Talkin' talkin' talkin'
Give 'em somethin' to talk about
Sick of rumors Ooh
But haters do what they do
Haters do what they do

Outro
All the rumors are true
Rumors yeah Yeah"
"I threw a wish in the well
Don't ask me I'll never tell","I looked to you as it fell
And now you're in my way
I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

PreChorus
Your stare was holdin'
Ripped jeans skin was showin'
Hot night wind was blowin'
Where you think you're going baby
Chorus
Hey I just met you and this is crazy
But here's my number so call me maybe
It's hard to look right at you baby
But here's my number so call me maybe
Hey I just met you and this is crazy
But here's my number so call me maybe
And all the other boys try to chase me
But here's my number so call me maybe

Verse 2
You took your time with the call
I took no time with the fall
You gave me nothin' at all
But still you're in my way
I beg and borrow and steal
At first sight and it's real
I didn't know I would feel it
But it's in my way

PreChorus
Your stare was holdin'
Ripped jeans skin was showin'
Hot night wind was blowin'
Where you think you're going baby
Hey I just met you and this is crazy
But here's my number so call me maybe
It's hard to look right at you baby
But here's my number so call me maybe
Hey I just met you and this is crazy
But here's my number so call me maybe
And all the other boys try to chase me
But here's my number so call me maybe

PostChorus
Before you came into my life I missed you so bad
I missed you so bad
I missed you so so bad
Before you came into my life I missed you so bad
And you should know that
I missed you so so bad

Bridge
It's hard to look right at you baby
But here's my number so call me maybe

Chorus
Hey I just met you and this is crazy
But here's my number so call me maybe
And all the other boys try to chase me
But here's my number so call me maybe
PostChorus
Before you came into my life I missed you so bad
I missed you so bad
I missed you so so bad
Before you came into my life I missed you so bad
And you should know that"
"I really wanna stop but I just got the taste for it
I feel like I could fly with the boy on the moon","So honey hold my hand you like making me wait for it
I feel like I could die walking up to the room oh yeah

PreChorus
Late night watching television
But how'd we get in this position
It's way too soon I know this isn't love
But I need to tell you something
Chorus
I really really really really really really like you
And I want you do you want me do you want me too
I really really really really really really like you
And I want you do you want me do you want me too
Oh did I say too much
Im so in my head when were out of touch
I really really really really really really like you
And I want you do you want me do you want me too

Verse 2
It's like everything you say is a sweet revelation
All I wanna do is get into your head
Yeah we could stay alone
You and me and this temptation
Sipping on your lips hanging on by a thread baby

PreChorus
Late night watching television
But how'd we get in this position
It's way too soon I know this isn't love Love
But I need to tell you something

Chorus
I really really really really really really like you
And I want you do you want me do you want me too
I really really really really really really like you
And I want you do you want me do you want me too
Oh did I say too much
Im so in my head when were out of touch When were out of touch
I really really really really really really like you
And I want you do you want me do you want me too
Who gave you eyes like that
Said you could keep them
I dont know how to act
Or if I should be leaving
Im running out of time
Going out of my mind
I need to tell you something
Yeah I need to tell you something
Yeah

Chorus
I really really really really really really like you
And I want you do you want me do you want me too
I really really really really really really like you Oh oh oh
And I want you do you want me do you want me too
Oh did I say too much Did I say too much
Im so in my head when were out of touch Im so in my head when were out of touch
I really really really really really really like you
And I want you do you want me do you want me too Yeah
I really really really really really really like you
And I want you do you want me do you want me too Yeah I need to tell you something
I really really really really really really like you Oh yeah"
"I had a dream or was it real
We crossed the line and it was on we crossed the line","It was on this time
I've been denying how I feel
You've been denying what you want you want from me
Talk to me baby

PreChorus
I want some satisfaction take me to the stars Hey
Just like ahahah ahahah
Chorus
I wanna cut through the clouds break the ceiling
I wanna dance on the roof you and me alone
I wanna cut to the feeling oh yeah
I wanna cut to the feeling oh yeah Woo
I wanna play where you play with the angels
I wanna wake up with you all in tangles oh
I wanna cut to the feeling oh yeah
I wanna cut to the feeling oh yeah

Verse 2
Cancel your reservations
No more hesitations this is on can't make it stop
Give me all you got
I want it all or nothing
No more inbetween now give your everything to me
Let's get real baby

PreChorus
A chemical reaction take me in your arms Hey
And make me ahahah ahahah

Chorus
I wanna cut through the clouds break the ceiling
I wanna dance on the roof you and me alone
I wanna cut to the feeling oh yeah
I wanna cut to the feeling oh yeah Woo
I wanna play where you play with the angels
I wanna wake up with you all in tangles oh
I wanna cut to the feeling oh yeah
I wanna cut to the feeling oh yeah Yeah yeah
Hey woo
C'mon Take me to emotion Hey
I want to go all the way All the way
Show me devotion and take me all the way
Take me to emotion Take me take me
I want to go all the way
Show me devotion Take me take me
And take me all the way Take me take me
All the way all the way all the way
Take me all the way Ahahah

Chorus
I wanna cut through the clouds break the ceiling
I wanna dance on the roof you and me alone
I wanna cut to the feeling Oh oh yeah
I wanna cut to the feeling Yeah yeah yeah yeah oh yeah Woo
I wanna play where you play with the angels
I wanna wake up with you all in tangles Yeah oh
I wanna cut to the feeling oh yeah
I wanna cut to the feeling oh yeah

Outro
I wanna cut through the clouds
Mmm cut to the feeling
I wanna dance on the roof ohohoh yeah
I wanna cut to the feeling I wanna cut to the feeling"
"Be tormented by me babe
Wonder wonder how I do","How's the weather Am I better
Better now that there's no you
Drink tequila for me babe
Let it hit you cold and hot
Let your feelings be revealing that you can't forget me

PreChorus
Not a flower on the wall
I am growing ten feet ten feet tall
In your head and I won't stop
Until you forget me get me not
Chorus
In your fantasy dream about me
And all that we could do with this emotion
Fantasy dream about me
And all that we could do with this emotion
This emotion I feel it
This emotion you feel it
All that we could do with this emotion

Verse 2
Paint a picture for me boy
Where the sky's forever blue
Tell me there is nothing I can't have and nothing you won't do
Toss and turn without me boy
Let it hit you cold and hot
All my kisses say you'll miss it and you can't forget me

PreChorus
Not a flower on the wall
I am growing ten feet ten feet tall Tall
In your head and I won't stop
Until you forget me get me not

Chorus
In your fantasy dream about me
And all that we could do with this emotion
Fantasy dream about me
And all that we could do with this emotion
This emotion I feel it
This emotion you feel it
All that we could do with this emotion
What if I turn the lights right down
I feel it
What if I turn the lights right down
You feel it
You and me in the dark right now
I feel it

Chorus
In your fantasy dream about me
And all that we could do with this emotion
Fantasy dream about me
And all that we could do with this emotion
This emotion I feel it What if I turn the lights right down
This emotion you feel it"
"Thought I'd end up with Sean
But he wasn't a match","Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete I'm so thankful
Wish I could say Thank you to Malcolm
'Cause he was an angel

PreChorus
One taught me love
One taught me patience
And one taught me pain
Now I'm so amazing
Say I've loved and I've lost
But that's not what I see
So look what I got
Look what you taught me
And for that I say
Chorus
Thank you next Next
Thank you next Next
Thank you next
I'm so fuckin' grateful for my ex
Thank you next Next
Thank you next Next
Thank you next Next
I'm so fuckin'

Verse 2
Spend more time with my friends
I ain't worried 'bout nothin'
Plus I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that So good with that

PreChorus
She taught me love Love
She taught me patience Patience
How she handles pain Pain
That shit's amazing Yeah she's amazing
I've loved and I've lost Yeah yeah
But that's not what I see Yeah yeah
'Cause look what I've found Yeah yeah I've found
Ain't no need for searching and for that I say
Thank you next Thank you next
Thank you next Thank you next
Thank you next Thank you
I'm so fuckin' grateful for my ex
Thank you next Thank you next
Thank you next Said thank you next
Thank you next Next
I'm so fuckin' grateful for my ex

PostChorus
Thank you next
Thank you next
Thank you next
I'm so fuckin'

Bridge
One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash Song is a smash
PreChorus
I've got so much love Love
Got so much patience Patience
And I've learned from the pain Pain
I turned out amazing Turned out amazing
Say I've loved and I've lost Yeah yeah
But that's not what I see Yeah yeah
'Cause look what I've found Yeah yeah
Ain't no need for searching
And for that I say

Chorus
Thank you next Thank you next
Thank you next Thank you next
Thank you next
I'm so fuckin' grateful for my ex
Thank you next Thank you next
Thank you next Said thank you next
Thank you next Next
I'm so fuckin' grateful for my ex

PostChorus
Thank you next
Thank you next
Thank you next
Yeah yee
Thank you next
Thank you next
Thank you next"
"Yeah breakfast at Tiffany's and bottles of bubbles
Girls with tattoos who like getting in trouble","Lashes and diamonds ATM machines
Buy myself all of my favorite things Yeah
Been through some bad shit I should be a sad bitch
Who woulda thought it'd turn me to a savage
Rather be tied up with calls and not strings
Write my own checks like I write what I sing yeah Yeah

PreChorus
My wrist stop watchin' my neck is flossy
Make big deposits my gloss is poppin'
You like my hair Gee thanks just bought it
I see it I like it I want it I got it Yeah
Chorus
I want it I got it I want it I got it
I want it I got it I want it I got it
You like my hair Gee thanks just bought it
I see it I like it I want it I got it Yep
Verse 2
Wearing a ring but ain't gon' be no Mrs
Bought matching diamonds for six of my bitches
I'd rather spoil all my friends with my riches
Think retail therapy my new addiction
Whoever said money can't solve your problems
Must not have had enough money to solve 'em
They say Which one I say Nah I want all of 'em
Happiness is the same price as redbottoms

PreChorus
My smile is beamin' Yeah my skin is gleamin' Is gleamin'
The way it shine I know you've seen it You've seen it
I bought a crib just for Just for the closet Closet
Both his and hers I want it I got it yeah

Chorus
I want it I got it I want it I got it
I want it I got it I want it I got it Baby
You like my hair Gee thanks just bought it Oh yeah
I see it I like it I want it I got it Yep
Yeah my receipts be lookin' like phone numbers
If it ain't money then wrong number
Black card is my business card
The way it be settin' the tone for me
I don't mean to brag but I be like Put it in the bag yeah
When you see them racks they stacked up like my ass yeah
Shoot go from the store to the booth
Make it all back in one loop gimme the loot
Never mind I got the juice
Nothing but net when we shoot
Look at my neck look at my jet
Ain't got enough money to pay me respect
Ain't no budget when I'm on the set
If I like it then that's what I get yeah

Chorus
I want it I got it I want it I got it Oh yeah
I want it I got it I want it I got it Oh yeah yeah
You like my hair Gee thanks just bought it"
"I don't wanna waste no time yeah
You ain't got a onetrack mind yeah","Have it any way you like yeah
And I can tell that you know I know how I want it
Ain't nobody else can relate
Boy I like that you ain't afraid
Baby lay me down and let's pray
I'm tellin' you the way I like it how I want it
PreChorus
Yeah And I can be all the things you told me not to be
Yeah When you try to come for me I keep on flourishing
Yeah And he see the universe when I'm the company
It's all in me

Chorus
You you love it how I move you
You love it how I touch you my one
When all is said and done
You'll believe God is a woman
And I I feel it after midnight
A feelin' that you can't fight my one
It lingers when we're done
You'll believe God is a woman

Verse 2
Yeah
I tell you all the things you should know
So baby take my hands save your soul
We can make it last take it slow hmm
And I can tell that you know I know how I want it yeah
But you're different from the rest
And boy if you confess you might get blessed
See if you deserve what comes next
I'm tellin' you the way I like it how I want it
Yeah And I can be all the things you told me not to be
Yeah When you try to come for me I keep on flourishing
Yeah And he see the universe when I'm the company
It's all in me

Chorus
You you love it how I move you
You love it how I touch you my one
When all is said and done
You'll believe God is a woman
And I I feel it after midnight
A feelin' that you can't fight my one
It lingers when we're done
You'll believe God is a woman

Outro
Yeah yeah
God is a woman
Yeah yeah
God is a woman yeah
My one
One
When all is said and done
You'll believe God is a woman
You'll believe God
God is a woman
Oh yeah
God is a woman yeah
One
It lingers when we're done"
"I'm talkin' to ya
See you standing over there with your body","Feeling like I wanna rock with your body
And we don't gotta think 'bout nothin' 'Bout nothin'
I'm comin' at ya
'Cause I know you got a bad reputation
Doesn't matter 'cause you give me temptation
And we don't gotta think 'bout nothin' 'Bout nothin'
PreChorus
These friends keep talkin' way too much
Say I should give you up
Can't hear them no 'cause I

Chorus
I've been here all night
I've been here all day
And boy  got me walkin' side to side
I've been here all night
I've been here all day
And boy got me walkin' side to side Side to side

Verse 2
Been tryna hide it
Baby what's it gonna hurt if they don't know
Makin' everybody think that we solo
Just as long as you know you got me You got me
And boy I got ya
'Cause tonight I'm making deals with the devil
And I know it's gonna get me in trouble
Just as long as you know you got me

PreChorus
These friends keep talkin' way too much
Say I should give you up
Can't hear them no 'cause I
I've been here all night
I've been here all day
And boy  got me walkin' side to side Side to side
I've been here all night Been here all night baby
I've been here all day Been here all day baby
And boy  got me walkin' side to side Side to side

Refrain Nicki Minaj
Uh yo
This the new style with the fresh type of flow
Wrist icicle ride dick bicycle
Come through yo get you this type of blow
If you want a ménage I got a tricycle

Verse 3 Nicki Minaj
All these bitches' flows is my minime
Body smoking so they call me Young Nicki Chimney
Rappers in they feelings 'cause they feelin' me Murder
Uh II give zero fucks and I got zero chill in me
Kissing me copped the blue box that say Tiffany
Curry with the shot just tell 'em to call me Stephanie
Gun pop then I make my gum pop
I'm the queen of rap young Ariana run pop uh

PreChorus
These friends keep talkin' way too much Way too much
Say I should give him up Give him up
Can't hear them no 'cause I
Chorus
I've been here all night Been here all night baby
I've been here all day Been here all night baby
And boy Boy  got me walkin' side to side Side to side
I've been here all night Been here all night baby
I've been here all day Been here all day baby Ooh baby
And boy No got me walkin' side to side Side to side
Yeaheh yeah yeah yeah

Refrain Nicki Minaj and
Uh yo
This the new style with the fresh type of flow Nah nah baby
Wrist icicle ride dick bicycle
Come through yo get you this type of blow"
"A tiger
Don't lose no sleep","Don't need opinions
From a shellfish or a sheep
Don't you come for me
No not today
You're calculated
I got your number
'Cause you're a joker
And I'm a courtside killer queen
And you will kiss the ring
You best believe
PreChorus
So keep calm honey I'ma stick around
For more than a minute get used to it
Funny my name keeps comin' outcho mouth
'Cause I stay winning
Lay 'em up like

Chorus
Swish swish bish
Another one in the basket
Can't touch this
Another one in the casket

Verse 2
Your game is tired
You should retire
You're 'bout cute as
An old coupon expired
And karma's not a liar
She keeps receipts

PreChorus
So keep calm honey I'ma stick around
For more than a minute get used to it
Funny my name keeps comin' outcho mouth
'Cause I stay winning
Lay 'em up like
Swish swish bish
Another one in the basket
Can't touch this
Another one in the casket
Swish swish bish
Another one in the basket
Can't touch this
Another one in the casket

Refrain
They know what is what
But they don't know what is what

They just know what is what
Young Money
But they don't know what is what
They just know what is what
But they don't know what is what
They just strut
Hahaha yo
What the fuck
Verse 3 Nicki Minaj
Pink Ferragamo sliders on deck
Silly rap beefs just get me more checks
My life is a movie I'm never off set
Me and my amigos no not Offset
Swish swish aww I got them upset
But my shooters'll make 'em dance like dubstep
Swish swish aww my haters is obsessed
'Cause I make M's they get much less
Don't be tryna double back
I already despise you
All that fake love you showin'
Couldn't even disguise you
Ran When Nicki gettin' tan
Mirror mirror who's the fairest bitch in all the land
Damn man this bitch is a Stan
Muah muah the generous queen will kiss a fan
Ass goodbye I'ma be riding by
I'ma tell my  Biggz yeah that's tha guy
A star's a star da ha da ha
They never thought the swish god would take it this far
Get my pimp cup this is pimp shit baby
I only rock with Queens so I'm makin' hits with Katy
Chorus
Swish swish bish
Another one in the basket
Can't touch this
Another one in the casket

Refrain
They know what is what
Do they know
But they don't know what is what
They just know what is what
But they don't know what is what
They just know what is what
But they don't know what is what
They just strut"
"I knew you were you were gonna come to me
And here you are but you better choose carefully","'Cause I I'm capable of anything
Of anything and everything
PreChorus
Make me your Aphrodite
Make me your one and only
But don't make me your enemy Enemy
Your enemy Your enemy your enemy

Chorus
So you wanna play with magic
Boy you should know what you're fallin' for
Baby do you dare to do this
'Cause I'm comin' at you like a dark horse
Are you ready for ready for
A perfect storm perfect storm
'Cause once you're mine once you're mine
There's no goin' back

Verse 2
Mark my words this love will make you levitate
Like a bird like a bird without a cage
We're down to earth if you choose to walk away
Don't walk away Walk away

PreChorus
It's in the palm of your hand now baby
It's a yes or a no no maybe
So just be sure before you give it all to me
All to me give it all to me
So you wanna play with magic
Boy you should know what you're fallin' for
Baby do you dare to do this
'Cause I'm comin' at you like a dark horse
Are you ready for ready for
A perfect storm perfect storm
'Cause once you're mine once you're mine
There's no goin' back

Verse 3
She's a beast I call her Karma Come back
She eat your heart out like Jeffrey Dahmer Woo
Be careful try not to lead her on
Shawty heart is on steroids 'cause her love is so strong
You may fall in love when you meet her Meet her
If you get the chance you better keep her Keep her
She's sweet as pie but if you break her heart
She turn cold as a freezer Freezer
That fairy tale ending with a knight in shining armor
She can be my sleepin' beauty I'm gon' put her in a coma Woo
Damn I think I love her shawty so bad I'm sprung and I don't care
She ride me like a roller coaster turn the bedroom into a fair A fair
Her love is like a drug I was tryna hit it and quit it
But lil mama so dope I messed around and got addicted
Chorus
So you wanna play with magic
Boy you should know what you're fallin' for You should know
Baby do you dare to do this
'Cause I'm comin' at you like a dark horse Like a dark horse
Are you ready for ready for Ready for
A perfect storm perfect storm A perfect storm
'Cause once you're mine once you're mine Mine
There's no goin' back
Produced by Max Martin and Dr Luke"
"Are we crazy
Living our lives through a lens","Trapped in our white picket fence
Like ornaments
So comfortable we're living in a bubble bubble
So comfortable we cannot see the trouble trouble
Aren't you lonely
Up there in utopia
Where nothing will ever be enough
Happily numb
So comfortable we're living in a bubble bubble
So comfortable we cannot see the trouble trouble
PreChorus
So put your rosecolored glasses on
And party on
Chorus
Turn it up it's your favorite song
Dance dance dance to the distortion
Turn it up keep it on repeat
Stumbling around like a wasted zombie
Yeah we think we're free
Drink this one's on me
We're all chained to the rhythm
To the rhythm to the rhythm
Turn it up it's your favorite song
Dance dance dance to the distortion
Turn it up keep it on repeat
Stumbling around like a wasted zombie
Yeah we think we're free
Drink this one's on me
We're all chained to the rhythm
To the rhythm to the rhythm
Verse 2
Are we tone deaf
Keep sweeping it under the mat
Thought we could do better than that
I hope we can
So comfortable we're living in a bubble bubble
So comfortable we cannot see the trouble trouble
So put So put your rosecolored glasses on
And party on
Chorus   Skip Marley
Turn it up it's your favorite song
Dance dance dance to the distortion
Turn it up keep it on repeat
Stumbling around like a wasted zombie
Yeah we think we're free
Drink this one's on me
We're all chained to the rhythm
To the rhythm to the rhythm
Turn it up it's your favorite song Oh
Dance dance dance to the distortion
Turn it up keep it on repeat
Stumbling around like a wasted zombie
Yeah we think we're free
Drink this one's on me
We're all chained to the rhythm
To the rhythm to the rhythm Woah oh oh
Bridge Skip Marley
It is my desire
Break down the walls to connect inspire
Ayy up inna your high place liars
Time is ticking for the empire
The truth they feed is feeble
As so many times before
They greed over the people
They stumbling and fumbling and we about to riot
They woke up they woke up the lions Woo
Chorus   Skip Marley
Turn it up it's your favorite song
Dance dance dance to the distortion
Turn it up keep it on repeat Turn it up turn it up yeah
Stumbling around like a wasted zombie Like a wasted zombie
Yeah we think we're free
Drink this one's on me Oh we're all
We're all chained to the rhythm Oh we're all
To the rhythm to the rhythm Chained to the rhythm

Outro
It goes on and on and on Turn it up it goes
It goes on and on and on Turn it up it goes on and on and on
It goes on and on and on On and on and on it goes"
